file,is_intact,details
77_set1_day13_20200329-135710_005_plantA_day8.txt,n,"Edge assignment failed: (71, [28, 0]); 27; 3; ['41.0 505.0 0', '[28,3]']"
17_20200205-215035_015_plantC_day5.txt,y,Done!
50_20200219-145220_001_plantC_day1.txt,y,Done!
66_20200219-145348_011_plantC_day2.txt,y,Done!
7_20200205-215035_011_plantC_day12.txt,n,"Edge assignment failed: (10, [8, 0]); 7; 1; ['-18.0 137.0 0', '[8,2] [7,3]']"
11_20200205-214859_004_plantD_day4.txt,y,Done!
23_20200205-215715_017_plantE_day3.txt,y,Done!
30_20200205-215715_020_plantE_day5.txt,y,Done!
2_20200205-214859_001_plantA_day12.txt,n,"Edge assignment failed: (14, [7, 0]); 6; 3; ['-58.0 65.0 0', '[7,3] [6,4]']"
34_20200213-171245_001_plantA_day5.txt,y,Done!
96_set1_day13_20200329-140102_024_plantD_day10.txt,n,"Edge assignment failed: (30, [13, 0]); 12; 3; ['66.0 184.0 0', '[13,3] [12,4]']"
49_20200219-145348_007_plantD_day5.txt,y,Done!
21_20200205-214859_008_plantB_day1.txt,y,Done!
12_20200205-215035_013_plantA_day3.txt,y,Done!
66_20200219-145348_011_plantA_day8.txt,n,"Edge assignment failed: (44, [27, 0]); 27; 2; ['-67.0 508.0 0', '[28,1]']"
34_20200213-171245_001_plantC_day11.txt,n,"Edge assignment failed: (10, [8, 0]); 7; 2; ['-105.0 156.0 0', '[8,2] [7,3]']"
43_20200213-171421_013_plantE_day14.txt,n,"Edge assignment failed: (110, [30, 0]); 29; 8; ['-24.0 631.0 0', '[30,9]']"
34_20200213-171245_001_plantC_day6.txt,y,Done!
7_20200205-215035_011_plantD_day12.txt,n,"Edge assignment failed: (21, [12, 0]); 11; 1; ['42.0 217.0 0', '[12,1] [11,2]']"
26_20200205-215715_018_plantC_day1.txt,y,Done!
31_20200205-215844_029_plantB_day3.txt,y,Done!
61_20200219-145348_010_plantE_day9.txt,n,"Edge assignment failed: (102, [41, 0]); 41; 2; ['-92.0 616.0 0', '[42,1]']"
7_20200205-215035_011_plantD_day14.txt,n,"Edge assignment failed: (21, [12, 0]); 11; 2; ['42.0 217.0 0', '[12,2] [11,3]']"
66_20200219-145348_011_plantA_day6.txt,y,Done!
61_20200219-145348_010_plantC_day1.txt,y,Done!
37_20200213-171245_002_plantA_day6.txt,y,Done!
71_20200219-145220_006_plantD_day14.txt,n,"Edge assignment failed: (130, [45, 0]); 44; 4; ['-1.0 957.0 0', '[45,4] [45,5]']"
11_20200205-214859_004_plantB_day10.txt,n,"Edge assignment failed: (51, [19, 0]); 18; 4; ['-20.0 488.0 0', '[19,4] [19,5]']"
56_20200219-145348_009_plantD_day15.txt,n,"Edge assignment failed: (122, [41, 0]); 40; 4; ['121.0 651.0 0', '[41,4] [40,5]']"
26_20200205-215715_018_plantD_day2.txt,y,Done!
60_20200219-145220_003_plantB_day5.txt,y,Done!
48_20200213-171421_015_plantD_day8.txt,y,Done!
18_20200205-214859_007_plantB_day2.txt,y,Done!
49_20200219-145348_007_plantE_day13.txt,n,"Edge assignment failed: (15, [5, 0]); 4; 6; ['18.0 41.0 0', '[5,6]']"
29_20200205-215844_028_plantA_day13.txt,n,"Edge assignment failed: (119, [67, 0]); 66; 2; ['-62.0 1485.0 0', '[67,2]']"
17_20200205-215035_015_plantD_day9.txt,y,Done!
25_20200205-215844_026_plantE_day13.txt,n,"Edge assignment failed: (43, [19, 0]); 18; 2; ['33.0 376.0 0', '[19,2] [18,3]']"
67_20200219-145220_005_plantA_day4.txt,y,Done!
18_20200205-214859_007_plantC_day4.txt,y,Done!
4_20200205-215035_010_plantD_day6.txt,y,Done!
45_20200213-171245_005_plantD_day9.txt,n,"Edge assignment failed: (82, [55, 0]); 55; 2; ['-85.0 1150.0 0', '[56,1]']"
50_20200219-145220_001_plantC_day11.txt,n,"Edge assignment failed: (77, [36, 0]); 35; 3; ['-37.0 633.0 0', '[36,3]']"
7_20200205-215035_011_plantC_day1.txt,y,Done!
1_20200205-215035_009_plantD_day9.txt,n,"Edge assignment failed: (75, [38, 0]); 38; 2; ['-70.0 840.0 0', '[39,1]']"
62_20200218-131149_004_plantE_day6.txt,y,Done!
33_20200213-171421_009_plantB_day10.txt,n,"Edge assignment failed: (62, [37, 0]); 36; 3; ['-42.0 848.0 0', '[37,2] [36,3]']"
29_20200205-215844_028_plantA_day3.txt,y,Done!
18_20200205-214859_007_plantD_day12.txt,n,"Edge assignment failed: (45, [13, 0]); 12; 7; ['91.0 282.0 0', '[13,7] [12,8]']"
95_set1_day13_20200329-140102_023_plantD_day6.txt,y,Done!
35_20200213-171421_010_plantA_day7.txt,n,"Edge assignment failed: (34, [25, 0]); 24; 1; ['85.0 466.0 0', '[25,1] [24,2]']"
22_20200205-215844_025_plantA_day6.txt,y,Done!
71_20200219-145220_006_plantE_day8.txt,y,Done!
45_20200213-171245_005_plantB_day10.txt,n,"Edge assignment failed: (49, [27, 0]); 26; 2; ['56.0 441.0 0', '[27,2] [26,3]']"
9_20200205-214859_003_plantD_day10.txt,n,"Edge assignment failed: (131, [40, 0]); 39; 4; ['-55.0 891.0 0', '[40,3]']"
27_20200205-215844_027_plantC_day7.txt,y,Done!
48_20200213-171421_015_plantC_day5.txt,y,Done!
6_20200205-214859_002_plantB_day1.txt,y,Done!
74_set1_day13_20200329-135710_002_plantE_day1.txt,y,Done!
40_20200213-171245_003_plantE_day8.txt,n,"Edge assignment failed: (44, [31, 0]); 30; 2; ['51.0 597.0 0', '[31,2]']"
47_20200213-171245_006_plantA_day4.txt,y,Done!
74_set1_day13_20200329-135710_002_plantB_day10.txt,n,"Edge assignment failed: (123, [43, 0]); 42; 5; ['-61.0 863.0 0', '[43,5]']"
35_20200213-171421_010_plantA_day12.txt,n,"Edge assignment failed: (70, [25, 0]); 24; 5; ['85.0 466.0 0', '[25,5] [24,6]']"
47_20200213-171245_006_plantC_day9.txt,n,"Edge assignment failed: (56, [38, 0]); 38; 2; ['-14.0 691.0 0', '[39,1]']"
63_20200219-145220_004_plantB_day6.txt,y,Done!
10_20200205-215035_012_plantB_day8.txt,n,"Edge assignment failed: (12, [7, 0]); 6; 2; ['-42.0 119.0 0', '[7,2] [6,3]']"
34_20200213-171245_001_plantE_day7.txt,n,"Edge assignment failed: (50, [30, 0]); 30; 2; ['4.0 616.0 0', '[31,1]']"
74_set1_day13_20200329-135710_002_plantC_day8.txt,n,"Edge assignment failed: (40, [18, 0]); 17; 1; ['66.0 216.0 0', '[18,1] [17,2]']"
17_20200205-215035_015_plantB_day10.txt,n,"Edge assignment failed: (76, [28, 0]); 27; 4; ['-10.0 595.0 0', '[28,4] [27,5]']"
